Wavelength,Flux,BestFit,SkyFlux
3993.925,45.197,40.367,5.580
3994.846,47.894,45.748,5.047
3995.765,53.529,47.430,5.014
3996.686,49.821,50.751,6.006
3997.606,57.246,52.666,6.837
3998.528,56.537,51.311,6.550
3999.447,55.492,52.670,5.559
4000.368,59.546,55.560,5.039
4001.290,61.732,52.783,5.372
4002.211,54.522,51.411,5.698
4003.133,50.075,52.065,5.524
4004.054,57.861,52.640,5.419
4004.978,51.742,53.294,5.841
4005.899,48.356,51.753,6.149
4006.821,54.711,52.343,5.923
4007.745,58.972,53.425,6.133
4008.666,55.617,53.954,6.540
4009.591,57.840,53.497,7.116
4010.513,54.622,51.118,7.628
4011.438,49.101,46.902,8.071
4012.361,49.692,43.087,7.993
4013.284,50.174,43.251,7.302
4014.209,49.320,44.442,6.854
4015.133,52.294,44.015,6.647
4016.059,54.165,43.854,6.517
4016.983,48.727,44.007,7.082
4017.909,47.093,45.997,6.965
4018.833,48.613,49.450,6.370
4019.758,52.852,51.496,7.392
4020.685,53.481,52.119,8.757
4021.610,53.424,54.649,8.557
4022.537,57.356,56.802,7.482
4023.462,57.413,58.539,7.730
4024.390,55.396,57.639,9.016
4025.316,64.168,57.364,8.116
4026.242,59.565,60.273,6.757
4027.171,63.499,63.076,7.357
4028.097,59.213,61.825,8.014
4029.026,58.122,61.366,7.564
4029.953,63.013,61.291,6.680
4030.882,63.070,59.450,6.372
4031.809,59.223,57.345,6.645
4032.739,57.023,58.257,6.778
4033.667,53.811,56.417,6.429
4034.595,53.331,56.211,5.951
4035.525,53.748,55.401,6.016
4036.453,52.675,53.347,6.640
4037.384,57.413,51.574,6.553
4038.313,60.165,51.000,6.209
4039.244,54.841,49.309,6.481
4040.173,51.630,45.613,7.004
4041.103,50.896,43.086,7.097
4042.035,47.952,43.175,7.174
4042.965,45.615,44.839,8.085
4043.897,46.571,45.152,9.549
4044.827,45.544,41.484,9.818
4045.760,46.854,41.657,12.187
4046.691,46.650,43.445,18.027
4047.622,45.465,46.206,24.409
4048.555,44.419,49.397,23.691
4049.486,52.435,50.967,17.084
4050.420,57.364,53.274,11.747
4051.352,59.518,56.170,9.422
4052.286,60.903,57.551,8.638
4053.218,60.183,59.206,8.520
4054.151,61.714,60.136,8.256
4055.086,57.549,57.172,7.896
4056.019,63.109,60.124,7.605
4056.954,62.190,62.850,6.612
4057.887,64.488,62.158,5.698
4058.823,62.241,61.332,5.861
4059.757,56.741,61.743,7.272
4060.691,56.399,59.937,8.656
4061.627,58.676,57.760,8.612
4062.561,59.729,56.744,7.856
4063.498,58.099,56.539,8.002
4064.433,53.276,58.929,8.861
4065.370,56.196,61.482,8.951
4066.305,58.726,58.584,8.259
4067.241,55.573,57.705,8.422
4068.179,52.215,56.193,8.937
4069.115,52.331,55.200,9.024
4070.053,56.811,57.187,8.457
