Wavelength,Flux,BestFit,SkyFlux
3980.155,35.237,27.218,10.251
3981.071,29.581,29.377,10.823
3981.989,29.785,27.556,10.912
3982.905,27.764,25.349,10.392
3983.823,28.477,23.300,10.098
3984.740,26.890,22.983,10.150
3985.659,29.208,24.755,9.748
3986.576,31.808,23.971,9.023
3987.493,31.220,24.162,8.974
3988.412,31.587,24.033,9.694
3989.330,32.076,24.468,10.727
3990.250,30.731,26.153,10.559
3991.168,33.083,27.603,9.293
3992.088,28.428,26.108,8.532
3993.006,32.129,24.289,9.102
3993.925,29.248,25.238,9.932
3994.846,29.813,27.725,9.711
3995.765,28.929,29.648,9.058
3996.686,30.359,29.075,8.744
3997.606,32.509,25.302,8.761
3998.528,26.688,25.012,9.717
3999.447,24.213,26.905,10.476
4000.368,27.583,25.749,10.852
4001.290,29.498,24.391,10.495
4002.211,27.960,27.114,9.494
4003.133,27.557,26.693,8.757
4004.054,27.278,21.547,9.049
4004.978,27.766,25.110,9.666
4005.899,26.913,26.990,10.275
4006.821,26.315,25.186,11.234
4007.745,28.718,26.420,12.356
4008.666,29.782,26.282,13.555
4009.591,29.535,24.293,14.588
4010.513,29.423,25.660,14.701
4011.438,30.269,25.597,14.226
4012.361,29.420,24.087,13.562
4013.284,30.814,25.618,13.164
4014.209,32.329,28.396,13.167
4015.133,29.736,27.692,12.826
4016.059,28.600,26.447,11.788
4016.983,30.852,26.115,10.818
4017.909,29.840,24.641,10.618
4018.833,30.154,22.227,11.635
4019.758,28.428,24.462,13.404
4020.685,27.878,21.207,14.978
4021.610,27.336,21.644,15.146
4022.537,30.956,23.885,14.286
4023.462,28.462,24.918,13.812
4024.390,30.947,25.554,14.005
4025.316,29.174,27.224,13.785
4026.242,27.086,28.110,12.588
4027.171,33.799,27.550,11.442
4028.097,30.325,26.118,11.383
4029.026,27.878,25.040,11.623
4029.953,25.224,25.218,11.291
4030.882,25.924,25.690,11.314
4031.809,30.616,23.432,11.380
4032.739,28.742,23.194,11.057
4033.667,28.997,25.006,10.509
4034.595,28.260,25.484,9.783
4035.525,26.885,23.260,9.471
4036.453,28.923,22.213,10.099
4037.384,27.994,20.285,10.985
4038.313,25.271,22.396,11.415
4039.244,28.525,25.480,11.091
4040.173,23.844,26.084,11.259
4041.103,26.497,25.023,12.445
4042.035,28.579,25.834,13.834
4042.965,29.914,25.761,15.103
4043.897,26.845,22.604,16.367
4044.827,26.526,22.849,18.656
4045.760,29.222,24.754,27.038
4046.691,27.308,22.528,41.111
4047.622,29.681,21.431,47.432
4048.555,28.341,23.947,39.298
4049.486,28.963,24.765,25.622
4050.420,28.997,25.354,18.182
4051.352,29.065,27.314,15.713
4052.286,29.240,27.373,13.748
4053.218,29.732,21.732,12.527
4054.151,29.714,26.758,12.800
4055.086,30.079,26.432,13.450
4056.019,30.319,24.577,13.045
4056.954,28.526,24.673,11.599
4057.887,28.732,24.117,10.385
4058.823,28.593,23.956,11.354
4059.757,29.444,24.970,13.138
4060.691,31.135,26.747,13.915
4061.627,28.504,27.162,13.118
4062.561,29.888,25.578,13.215
4063.498,29.784,23.087,14.584
4064.433,25.403,21.257,16.502
4065.370,24.033,22.975,17.894
4066.305,26.114,23.665,17.820
4067.241,24.983,23.356,16.701
4068.179,26.211,22.997,15.893
4069.115,29.293,23.103,15.579
4070.053,26.295,24.934,15.275
4070.989,29.698,27.527,14.308
4071.928,29.670,24.566,13.753
4072.865,28.993,23.802,13.193
4073.802,31.220,26.002,12.411
4074.741,32.991,26.324,12.057
4075.679,30.951,28.575,14.131
4076.618,28.070,29.217,17.578
4077.556,32.233,29.403,19.816
4078.497,30.787,28.988,20.140
4079.435,33.490,28.631,17.883
4080.373,38.159,29.279,15.610
4081.314,32.929,29.276,14.853
4082.253,35.225,26.189,14.877
4083.194,41.831,25.942,14.309
4084.134,51.294,32.035,13.527
4085.076,66.983,47.791,13.529
4086.015,91.360,80.197,14.462
4086.955,135.746,132.997,15.298
4087.898,178.803,172.606,14.668
4088.838,199.147,192.976,12.956
4089.781,207.650,208.279,11.232
4090.722,209.259,216.628,10.846
4091.665,194.106,197.729,11.092
4092.606,147.442,141.099,11.719
4093.548,91.982,79.057,11.846
4094.492,54.708,45.210,11.582
4095.434,38.302,30.440,11.285
4096.378,32.925,23.451,10.634
4097.321,30.039,22.236,10.217
4098.265,30.594,21.921,9.986
4099.208,28.235,22.187,10.379
